ticker,quarter,gold_revenue,gold_oz_sold,realised_price,w_gold,L0a,aisc_margin,L1,L2,published_aisc,aisc_comparable,aisc_basis_note,gold_cost_total,total_revenue,aisc_ratio,is_outlier,recon_residual_pct,flags
GOLD,2023Q4,2767.0,1042000,1985.604606525912,0.9045439686171952,30.68305023491146,31.305558240695987,11.778322316216208,10.416661567830918,1364.0,1364.0,"as published (by-product, per oz sold)",2441.0938215102974,3059.0,0.6869444175930401,False,0.543,ONLY_CONSOLIDATED;KOZ_ROUNDED;DERIVED_Q4_STATEMENT;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
GOLD,2024Q1,2528.0,910000,2075.824175824176,0.9202766654532216,30.69620253164557,28.992059290629967,10.392536967831417,10.715886927510816,1474.0,1474.0,"as published (by-product, per oz sold)",2265.276665453221,2747.0,0.7100794070937003,False,0.347,ONLY_CONSOLIDATED;KOZ_ROUNDED;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
GOLD,2024Q2,2868.0,956000,2343.0962343096235,0.9070208728652752,37.62203626220363,36.0675,10.39580901870804,11.58835214692562,1498.0,1498.0,"as published (by-product, per oz sold)",2569.8481973434536,3162.0,0.639325,False,-0.006,ONLY_CONSOLIDATED;KOZ_ROUNDED;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
GOLD,2024Q3,3097.0,967000,2495.3464322647364,0.9195368171021376,40.36164029706168,39.607583920431,20.55134192387545,13.27950255665778,1507.0,1507.0,"as published (by-product, per oz sold)",2460.524940617577,3368.0,0.60392416079569,False,0.05,ONLY_CONSOLIDATED;KOZ_ROUNDED;NO_AIC_PUBLISHED;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
GOLD,2024Q4,3327.0,965000,2654.922279792746,0.9127572016460904,45.77697625488428,45.3467993754879,23.322287655186837,16.165493891400438,1451.0,1451.0,"as published (by-product, per oz sold)",2551.0674897119343,3645.0,0.546532006245121,False,-0.015,ONLY_CONSOLIDATED;KOZ_ROUNDED;DERIVED_Q4_STATEMENT;NO_AIC_PUBLISHED;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
GOLD,2025Q1,2766.0,751000,2896.138482023968,0.8837060702875399,43.70932754880694,38.71149425287356,18.91720319072997,18.29666044712508,1775.0,1775.0,"as published (by-product, per oz sold)",2242.750159744409,3130.0,0.6128850574712644,False,0.148,ONLY_CONSOLIDATED;KOZ_ROUNDED;NO_AIC_PUBLISHED;CAPINT_DEDUPED
GOLD,2025Q2,3280.0,770000,3296.103896103896,0.8910622113556099,49.20731707317073,48.90937746256895,17.989983170002848,20.195203984948776,1684.0,1684.0,"as published (by-product, per oz sold)",2689.9285520239064,3681.0,0.5109062253743105,False,-0.207,ONLY_CONSOLIDATED;KOZ_ROUNDED;NO_AIC_PUBLISHED;CAPINT_DEDUPED
GOLD,2025Q3,3748.0,837000,3457.586618876941,0.9035679845708776,55.09605122732124,55.51810642709053,31.228690016867887,22.864541008196888,1538.0,1538.0,"as published (by-product, per oz sold)",2577.548698167792,4148.0,0.4448189357290947,False,-0.257,ONLY_CONSOLIDATED;KOZ_ROUNDED;NO_AIC_PUBLISHED;CAPINT_DEDUPED
GOLD,2025Q4,5353.0,960000,4177.083333333333,0.8926129731532433,54.97851671959649,62.150623441396505,31.19185846114414,24.83193370968621,1581.0,1581.0,"as published (by-product, per oz sold)",3683.299816574954,5997.0,0.3784937655860349,False,-0.182,ONLY_CONSOLIDATED;KOZ_ROUNDED;DERIVED_Q4_STATEMENT;RESTATED;NO_AIC_PUBLISHED;CAPINT_DEDUPED
GOLD,2026Q1,4756.0,748000,4822.192513368984,0.91146032962821,60.74432296047099,64.5804269476019,40.614312686788736,30.256211083700904,1708.0,1708.0,"as published (by-product, per oz sold)",2824.383288616328,5218.0,0.3541957305239812,False,0.033,ONLY_CONSOLIDATED;KOZ_ROUNDED;NO_AIC_PUBLISHED;CAPINT_DEDUPED
GOLD,2026Q2,4665.0,801000,4415.730337078652,0.8815192743764172,55.005359056806,57.741984732824434,19.7492301672366,30.69602283300934,1866.0,1866.0,"as published (by-product, per oz sold)",3743.698412698413,5292.0,0.4225801526717557,False,-0.045,ONLY_CONSOLIDATED;KOZ_ROUNDED;NO_AIC_PUBLISHED;CAPINT_DEDUPED
KGC,2021Q1,960.3,537314,1787.2231134867134,0.9734414597060314,34.718317192544,46.67705487868374,11.905099769516822,11.905099769516822,975.0,953.0,by-product column substituted for the published headline,845.9753269133299,986.5,0.5332294512131626,False,0.022,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|RESTATED;CAPINT_ADDED
KGC,2021Q2,973.5,536681,1813.9267087897647,0.9726246378259568,29.55315870570108,42.22478808423215,18.069028064777648,14.987063917147236,1069.0,1048.0,by-product column substituted for the published headline,797.5980117893896,1000.9,0.5777521191576785,False,0.031,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|RESTATED;CAPINT_ADDED
KGC,2021Q3,831.8,464607,1790.3303221862775,0.9644057971014492,24.28468381822553,32.6939847319067,7.265132713758522,12.413086849350998,1225.0,1205.0,by-product column substituted for the published headline,771.3686260869565,862.5,0.673060152680933,False,0.032,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|RESTATED;CAPINT_ADDED
KGC,2021Q4,855.9,476466,1796.3506315246,0.9731665719158612,27.035868676247222,27.68672344900106,-7.882225512761937,7.339258758822764,1312.0,1299.0,by-product column substituted for the published headline,923.3639681637294,879.5,0.7231327655099894,False,0.024,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|RESTATED|derived_q4;CAPINT_ADDED
KGC,2022Q1,763.5,407104,1875.442147461091,0.994140625,22.54092992796332,33.828937262606416,9.580724050425667,6.758164829049975,1245.0,1241.0,by-product column substituted for the published headline,690.3511718750001,768.0,0.6617106273739358,False,-0.003,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|RESTATED|DISCONTINUED_OPS_PRESENTATION;CAPINT_ADDED
KGC,2022Q2,812.5,434086,1871.748916113397,0.9890444309190504,22.30153846153846,28.67633107692308,10.798116016667448,4.940436817022425,1341.0,1335.0,by-product column substituted for the published headline,724.765307364577,821.5,0.7132366892307692,False,-0.018,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|EXPL_CAPTION_DRIFT|DISCONTINUED_OPS_PRESENTATION;CAPINT_ADDED
KGC,2022Q3,832.9,480775,1732.4112110654671,0.9724460011675424,21.91139392484091,26.749492736222837,4.823800144901969,4.330103674808287,1282.0,1269.0,by-product column substituted for the published headline,792.7225685931114,856.5,0.7325050726377716,False,0.01,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|EXPL_CAPTION_DRIFT|DISCONTINUED_OPS_PRESENTATION;CAPINT_ADDED
KGC,2022Q4,1014.3,586146,1730.4562344535318,0.942482809886638,23.25741890959282,30.480761313220928,6.678045118162808,7.970171332539474,1236.0,1203.0,by-product column substituted for the published headline,946.5645883664746,1076.2,0.6951923868677907,False,-0.034,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|EXPL_CAPTION_DRIFT|DISCONTINUED_OPS_PRESENTATION|derived_q4;CAPINT_ADDED
KGC,2023Q1,874.4,461696,1893.8868866093703,0.9409232755837728,20.425434583714548,32.20292040256175,-0.7190468108047748,5.395228617231862,1321.0,1284.0,by-product column substituted for the published headline,880.6873453136769,929.3,0.6779707959743825,False,-0.035,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|EXPL_CAPTION_DRIFT|DISCONTINUED_OPS_PRESENTATION;CAPINT_ADDED
KGC,2023Q2,1039.0,525921,1975.5818839711667,0.9512038817174768,29.04716073147257,36.120086429258905,14.0124567836259,6.198813808971475,1296.0,1262.0,by-product column substituted for the published headline,893.4105740181269,1092.3,0.638799135707411,False,0.021,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|EXPL_CAPTION_DRIFT|DISCONTINUED_OPS_PRESENTATION;CAPINT_ADDED
KGC,2023Q3,1050.0,544199,1929.441252188997,0.952467343976778,25.285714285714285,34.48880609523809,10.469845877393054,7.610325242094246,1296.0,1264.0,by-product column substituted for the published headline,940.0666182873728,1102.4,0.6551119390476191,False,-0.032,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|EXPL_CAPTION_DRIFT|DISCONTINUED_OPS_PRESENTATION;CAPINT_ADDED
KGC,2023Q4,1072.0,543173,1973.588525202836,0.9608317648113291,23.16231343283582,32.71140447761193,7.161222657885623,7.73111962702495,1353.0,1328.0,by-product column substituted for the published headline,995.231693107466,1115.7,0.6728859552238807,False,0.03,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|EXPL_CAPTION_DRIFT|derived_q4;CAPINT_ADDED
KGC,2024Q1,1042.4,503604,2069.88030277758,0.9638465094775776,24.82732156561781,38.11236339217191,8.84524545760008,10.122192694126165,1310.0,1281.0,by-product column substituted for the published headline,950.1971613499768,1081.5,0.6188763660782809,False,-0.036,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|EXPL_CAPTION_DRIFT;CAPINT_ADDED
KGC,2024Q2,1182.8,505122,2341.61252133148,0.9699056990569904,29.666892120392284,42.048482076428805,17.610975991396703,11.021822496068864,1387.0,1357.0,by-product column substituted for the published headline,974.4973759737596,1219.5,0.5795151792357119,False,0.015,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|EXPL_CAPTION_DRIFT;CAPINT_ADDED
KGC,2024Q3,1410.6,569506,2476.8834744497863,0.9850558659217876,38.99758967815114,46.22274266269672,30.09351185398345,15.927738990216463,1350.0,1332.0,by-product column substituted for the published headline,986.1009217877096,1432.0,0.5377725733730327,False,-0.019,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|EXPL_CAPTION_DRIFT;CAPINT_ADDED
KGC,2024Q4,1391.2,522389,2663.1494920452,0.9826246645006358,37.5646923519264,44.05120687176538,28.250947310241664,21.200170153305475,1510.0,1490.0,by-product column substituted for the published headline,998.172821019918,1415.8,0.5594879312823462,False,-0.006,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|EXPL_CAPTION_DRIFT|derived_q4;CAPINT_ADDED
KGC,2025Q1,1475.0,516268,2857.043241107332,0.9849749582637728,43.383050847457625,53.41337572881355,28.878831951557675,26.20856677679487,1355.0,1331.0,by-product column substituted for the published headline,1049.0372287145242,1497.5,0.4658662427118644,False,-0.028,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV;CAPINT_ADDED
KGC,2025Q2,1705.9,519391,3284.4234882776173,0.9869250795487418,51.269124802157215,55.27373357172167,35.763364645591906,30.746663940343677,1493.0,1469.0,by-product column substituted for the published headline,1095.8127625108475,1728.5,0.4472626642827833,False,0.027,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|NOT_DISCLOSED:capitalised_exploration;CAPINT_ADDED
KGC,2025Q3,1769.8,511564,3459.5866792815755,0.98207646634482,50.05085320375184,54.09856300146909,41.57234121497947,33.61637128059268,1622.0,1588.0,by-product column substituted for the published headline,1034.052705177293,1802.1,0.4590143699853091,False,0.016,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|NOT_DISCLOSED:capitalised_exploration;CAPINT_ADDED
