ticker,file,hint_y,hint_q,kind,year,quarter,agree,evidence
KGC,2007-Q4_0001047469-09-000274_a2189996z6-k.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001047469-09-000274_a2189996zex-99_1.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001047469-09-000274_a2189996zex-99_2.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001047469-09-000274_a2189996zex-99_3.htm,2007,4,9M,2008.0,3.0,False,"september 30, 2008"
KGC,2007-Q4_0001188112-08-000169_ex99-1.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000169_t61509_6k.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000192_ex99-1.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000192_t61530_6k.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000196_ex99-1.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000196_t61545_6k.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000216_ex99-1.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000216_t61558_6k.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000228_ex99-1.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000228_ex99-2.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000228_ex99-3.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000228_t61581_6k.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000236_ex99-1.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000236_t61594_6k.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000460_ex99-1.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000460_ex99-2.htm,2007,4,,,,False,no period phrase in header window
KGC,2007-Q4_0001188112-08-000460_t61763_6k.htm,2007,4,,,,False,no period phrase in header window
KGC,2008-Q1_0001047469-08-006610_a2185795z6-k.htm,2008,1,,,,False,no period phrase in header window
KGC,2008-Q1_0001047469-08-006610_a2185795zex-99_1.htm,2008,1,Q,2008.0,1.0,True,"march 31, 2008"
KGC,2008-Q1_0001104659-08-021385_a08-9204_16k.htm,2008,1,,,,False,no period phrase in header window
KGC,2008-Q1_0001104659-08-021385_a08-9204_1ex99d1.htm,2008,1,,,,False,no period phrase in header window
KGC,2008-Q1_0001104659-08-021385_a08-9204_1ex99d2.htm,2008,1,,,,False,no period phrase in header window
KGC,2008-Q1_0001104659-08-023216_a08-9936_16k.htm,2008,1,,,,False,no period phrase in header window
KGC,2008-Q1_0001104659-08-023216_a08-9936_1ex99d1.htm,2008,1,,,,False,no period phrase in header window
KGC,2008-Q1_0001104659-08-023216_a08-9936_1ex99d2.htm,2008,1,FY,2007.0,4.0,False,"december 31, 2007"
KGC,2008-Q1_0001104659-08-023216_a08-9936_1ex99d3.htm,2008,1,,,,False,no period phrase in header window
KGC,2008-Q1_0001188112-08-001600_ex99-1.htm,2008,1,Q,2008.0,1.0,True,"march 31, 2008"
KGC,2008-Q1_0001188112-08-001600_ex99-2.htm,2008,1,,,,False,no period phrase in header window
KGC,2008-Q1_0001188112-08-001600_t62682_6k.htm,2008,1,,,,False,no period phrase in header window
KGC,2008-Q1_0001188112-08-001821_ex99-1.htm,2008,1,,,,False,no period phrase in header window
KGC,2008-Q1_0001188112-08-001821_t62925_6k.htm,2008,1,,,,False,no period phrase in header window
KGC,2008-Q1_0001188112-08-001863_ex99-1.htm,2008,1,,,,False,no period phrase in header window
KGC,2008-Q1_0001188112-08-001863_ex99-2.htm,2008,1,,,,False,no period phrase in header window
KGC,2008-Q1_0001188112-08-001863_t62994_6k.htm,2008,1,,,,False,no period phrase in header window
KGC,2008-Q2_0001047469-08-009459_a2187405z6-k.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q2_0001047469-08-009459_a2187405zex-99_1.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q2_0001047469-08-010006_a2187875z6-k.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q2_0001047469-08-010006_a2187875zex-99_1.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q2_0001104659-08-050309_a08-20949_16k.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q2_0001104659-08-050309_a08-20949_1ex99d1.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q2_0001188112-08-002125_ex99-1.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q2_0001188112-08-002125_ex99-2.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q2_0001188112-08-002125_t63199_6k.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q2_0001188112-08-002233_ex99-1.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q2_0001188112-08-002233_t63313_6k.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q2_0001188112-08-002390_ex99-1.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q2_0001188112-08-002390_ex99-2.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q2_0001188112-08-002390_t63447_6k.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q2_0001188112-08-002657_ex99-1.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q2_0001188112-08-002657_t63707_6k.htm,2008,2,,,,False,no period phrase in header window
KGC,2008-Q3_0000891836-08-000250_exh.htm,2008,3,,,,False,no period phrase in header window
KGC,2008-Q3_0000891836-08-000250_sc0134.htm,2008,3,,,,False,no period phrase in header window
KGC,2008-Q3_0001047469-08-012311_a2189168z6-k.htm,2008,3,,,,False,no period phrase in header window
KGC,2008-Q3_0001047469-08-012311_a2189168zex-99_1.htm,2008,3,,,,False,no period phrase in header window
KGC,2008-Q3_0001188112-08-003038_ex99-1.htm,2008,3,,,,False,no period phrase in header window
KGC,2008-Q3_0001188112-08-003038_t63907_6k.htm,2008,3,,,,False,no period phrase in header window
KGC,2008-Q3_0001188112-08-003072_ex99-1.htm,2008,3,,,,False,no period phrase in header window
KGC,2008-Q3_0001188112-08-003072_t63961_6-k.htm,2008,3,,,,False,no period phrase in header window
KGC,2008-Q3_0001188112-08-003384_ex99-2.htm,2008,3,,,,False,no period phrase in header window
KGC,2008-Q3_0001188112-08-003384_t64227_6k.htm,2008,3,,,,False,no period phrase in header window
KGC,2008-Q4_0000891836-09-000013_sc0007.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001047469-09-000309_a2190104z6-k.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001047469-09-000309_a2190104zex-99_1.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001047469-09-003558_a2191843z40-f.htm,2008,4,FY,2008.0,4.0,True,"december 31, 2008"
KGC,2008-Q4_0001047469-09-003558_a2191843zex-99_1.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001047469-09-003558_a2191843zex-99_13.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001047469-09-003558_a2191843zex-99_14.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001047469-09-003558_a2191843zex-99_2.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001047469-09-003558_a2191843zex-99_3.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001047469-09-003558_a2191843zex-99_4.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001047469-09-003558_a2191843zex-99_5.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001047469-09-003558_a2191843zex-99_6.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001047469-09-003558_a2191843zex-99_7.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001104659-09-001961_a08-29991_26k.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001104659-09-004379_a09-3966_16k.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001104659-09-004379_a09-3966_1ex99d1.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001104659-09-008211_a09-5156_16k.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001104659-09-008211_a09-5156_1ex99d1.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001188112-09-000070_ex99-1.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001188112-09-000070_t64323_6k.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001188112-09-000169_ex99-1.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001188112-09-000169_t64458_6k.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001188112-09-000340_ex99-1.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001188112-09-000340_ex99-2.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001188112-09-000340_t64591_6k.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001188112-09-000477_ex99-1.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001188112-09-000477_ex99-2.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001188112-09-000477_t64674_6k.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001188112-09-000632_ex99-1.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001188112-09-000632_t64891_6k.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001188112-09-000743_ex99-1.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001188112-09-000743_ex99-2.htm,2008,4,,,,False,no period phrase in header window
KGC,2008-Q4_0001188112-09-000743_t65012_6k.htm,2008,4,,,,False,no period phrase in header window
KGC,2009-Q1_0001047469-09-003977_a2192235z6-k.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001047469-09-003977_a2192235zex-99_1.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001047469-09-003977_a2192235zex-99_2.htm,2009,1,FY,2008.0,4.0,False,"december 31, 2008"
KGC,2009-Q1_0001047469-09-003977_a2192235zex-99_3.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001047469-09-005072_a2192783z6-k.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001047469-09-005072_a2192783zex-99_1.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001047469-09-005706_a2193070z6-k.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001047469-09-005706_a2193070zex-99_1.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001047469-09-005707_a2192794z6-k.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001047469-09-005707_a2192794zex-99_1.htm,2009,1,Q,2009.0,1.0,True,"march 31, 2009"
KGC,2009-Q1_0001047469-09-005707_a2192794zex-99_2.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001047469-09-005707_a2192794zex-99_3.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001188112-09-000862_ex99-1.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001188112-09-000862_t65055_6k.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001188112-09-000895_ex99-1.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001188112-09-000895_t65058_6k.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001188112-09-001018_ex99-1.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001188112-09-001018_t65313_6k.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001188112-09-001094_ex99-1.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001188112-09-001094_ex99-2.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001188112-09-001094_t65368_6k.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001188112-09-001179_ex99-1.htm,2009,1,,,,False,no period phrase in header window
KGC,2009-Q1_0001188112-09-001179_t65433_6k.htm,2009,1,,,,False,no period phrase in header window
